,bicycling,bus,car,train,walking
bicycling,1063.0,11.0,627.0,0.0,596.0
bus,3.0,15.0,58.0,0.0,12.0
car,95.0,13.0,2214.0,2.0,421.0
train,1.0,0.0,0.0,0.0,2.0
walking,28.0,1.0,55.0,0.0,755.0
